term,classification,nearest_established_concept,authority_source,doi,pmid,url,concept_supported,retrieved_at_utc,evidence_class
synthetic fixture,PROJECT_OPERATIONAL_TERM,test fixture / synthetic data,Operational term defined in this work.,,,,Intentionally constructed input for deterministic software testing,2026-08-28T07:55:00Z,OPERATIONAL_DEFINITION
test fixture,ESTABLISHED_RESEARCH_TERM,software test fixture,xUnit Test Patterns (Meszaros),,,https://xunitpatterns.com/Test%20Fixture.html,Reusable test setup for repeatable execution,2026-08-28T07:55:00Z,SECONDARY_LITERATURE
canonical contract fixture,PROJECT_OPERATIONAL_TERM,deterministic test oracle,Operational term defined in this work.,,,,Fixture with expected outputs fixed before execution,2026-08-28T07:55:00Z,OPERATIONAL_DEFINITION
observed source record,PROJECT_OPERATIONAL_TERM,primary source record,Operational term defined in this work.,,,,Record retrieved from identified external source not invented for testing,2026-08-28T07:55:00Z,OPERATIONAL_DEFINITION
source data,ESTABLISHED_RESEARCH_TERM,primary data,W3C PROV-DM,,,https://www.w3.org/TR/prov-dm/#term-Entity,Entity representing data used as input,2026-08-28T07:55:00Z,STANDARDS_BODY
source record,ESTABLISHED_RESEARCH_TERM,data record / entity,W3C PROV-DM,,,https://www.w3.org/TR/prov-dm/#term-Entity,Identifiable data item with provenance,2026-08-28T07:55:00Z,STANDARDS_BODY
external biological evidence,PROJECT_OPERATIONAL_TERM,biological primary evidence,Operational term defined in this work.,,,,Source-backed biological record or publication supporting a biological assertion,2026-08-28T07:55:00Z,OPERATIONAL_DEFINITION
real-world data,REGULATORY_TERM,Real-World Data (RWD),FDA Framework for RWE Program,,,https://www.fda.gov/science-research/science-and-research-special-topics/real-world-evidence,Data relating to patient health from sources other than traditional trials,2026-08-28T07:55:00Z,REGULATOR
real-world evidence,REGULATORY_TERM,Real-World Evidence (RWE),FDA Framework for RWE Program,,,https://www.fda.gov/science-research/science-and-research-special-topics/real-world-evidence,Clinical evidence derived from RWD analysis,2026-08-28T07:55:00Z,REGULATOR
experimental evidence,ESTABLISHED_RESEARCH_TERM,controlled experiment evidence,National Academies reproducibility,,,https://nap.nationalacademies.org/catalog/25303,Evidence from designed experimental manipulation,2026-08-28T07:55:00Z,STANDARDS_BODY
clinical evidence,REGULATORY_TERM,clinical evidence,ICH E6(R2) GCP,,,https://database.ich.org/,Evidence from clinical investigation supporting safety/efficacy,2026-08-28T07:55:00Z,REGULATOR
provenance,STANDARDIZED_TERM,provenance,W3C PROV,,,https://www.w3.org/TR/prov-overview/,Origin and custody history of entities and activities,2026-08-28T07:55:00Z,STANDARDS_BODY
data provenance,STANDARDIZED_TERM,data provenance,W3C PROV,,,https://www.w3.org/TR/prov-dm/,Documentation of data origin and processing lineage,2026-08-28T07:55:00Z,STANDARDS_BODY
abstention,ESTABLISHED_RESEARCH_TERM,reject option / abstention,Chow 1970 reject tradeoff,10.1109/TIT.1970.1054470,,,Classifier may refuse to predict on uncertain inputs,2026-08-28T07:55:00Z,PRIMARY_LITERATURE
reject option,ESTABLISHED_RESEARCH_TERM,reject option,Chow 1970,10.1109/TIT.1970.1054470,,,Optimum recognition error and reject tradeoff,2026-08-28T07:55:00Z,PRIMARY_LITERATURE
selective prediction,ESTABLISHED_RESEARCH_TERM,selective prediction,Geifman & El-Yaniv 2017,10.5555/3298023.3298062,,,Predict on subset with coverage-quality tradeoff,2026-08-28T07:55:00Z,PRIMARY_LITERATURE
selective classification,ESTABLISHED_RESEARCH_TERM,selective classification,El-Yaniv & Wiener 2010,,,,Classification with abstention region,2026-08-28T07:55:00Z,PRIMARY_LITERATURE
closed-vocabulary identity resolution,PROJECT_OPERATIONAL_TERM,entity resolution / record linkage,Operational term defined in this work.,,,,Map source identifiers to canonical vocabulary with abstain on unknown,2026-08-28T07:55:00Z,OPERATIONAL_DEFINITION
alias mapping,ESTABLISHED_RESEARCH_TERM,synonym / alias mapping,HGNC gene nomenclature,,,https://www.genenames.org/about/guidelines/,Approved symbols and aliases for human genes,2026-08-28T07:55:00Z,ONTOLOGY_AUTHORITY
controlled vocabulary,STANDARDIZED_TERM,controlled vocabulary,SKOS / OBO,,,https://www.w3.org/2004/02/skos/,Curated term set with explicit semantics,2026-08-28T07:55:00Z,STANDARDS_BODY
