NUMERICAL_CLAIM_ID,manuscript_location,displayed_value,exact_unrounded_value,raw_source,raw_source_sha256,transformation_script,script_sha256,output_artifact,output_sha256,final_state,in_canonical_manuscript
NC-001,main.tex Results GAP,3,3,gap/runs/2026-08-13/candidates.csv grade=ABSTAIN count,historical candidates.csv (immutable run dir),row count (historical ingest did not derive summary),,gap/runs/2026-08-13/abstentions.json,,VERIFIED_DETERMINISTIC,True
NC-002,main.tex Results GAP successor,"N_input=4, N_admitted=1, N_abstained=3, summary=3",4/1/3/3,gap/runs/2026-08-28-accounting-repair/,candidates.csv sha256:d197113efa30f0425de3368b9a5e7ba325340b9511fbfa7b7c6e9abea6e727e6,paper/newinml2026/experiments/EXP-GAP-ACCOUNTING-001.1/repair_ingest_gap.py,898fd2052aae47495602d1d3fc94cc9fb14fda3b28231b5c9c0664df2e52662e,paper/newinml2026/experiments/EXP-GAP-ACCOUNTING-001.1/results.json,13373d683c15c09bc59dd29c086def24230d5106171826d746ade1bc523c5853,VERIFIED_DETERMINISTIC,True
NC-003,main.tex Table 1 / G3 Lane B / Limitations,1,1,paper/newinml2026/experiments/EXP-004/matched_ablation_results.json,41efd4d18f708170e09094271313efb025986a10930c06433183fa40b4024235,paper/newinml2026/experiments/EXP-004/run_g3_audit.py,53395a636f01d73ccdb7e2d56d095bd296ec7e34424e49dc1b5e4cc84380bb58,matched_ablation_results.json,41efd4d18f708170e09094271313efb025986a10930c06433183fa40b4024235,VERIFIED_DETERMINISTIC,True
NC-004,main.tex G1 successor,364=98+266,364=98+266,clinvar_subset.tsv + consensus_genes.fasta (PR#1 hash-admitted),3aa5e6723563a567fc2b77733a2ee1bd4707c5d254b2537192851c143c1fc2ec,"scripts/build_fasta_lane.py apply_variant (frozen FASTA, no UniProt fetch)",5e01e23d3af90cf2a6ff02f29be32b099e60ae18e73cdbfd43cedcc3ab449c59,EXP-002-SUCCESSOR-001/EXPERIMENT_RECEIPT.json + G1_FROZEN_RECOMPUTE_RECEIPT.json,dcdcd6376c6a154b3c95bd3b9dc6c94667013eda83aeab7f50ee3cba5b834df5,VERIFIED_DETERMINISTIC,True
NC-005,main.tex G1 abstention breakdown,"frameshift 131, no protein notation 118, residue mismatch 16, position out of range 1",131+118+16+1=266,same as NC-004,3aa5e6723563a567fc2b77733a2ee1bd4707c5d254b2537192851c143c1fc2ec,scripts/build_fasta_lane.py,5e01e23d3af90cf2a6ff02f29be32b099e60ae18e73cdbfd43cedcc3ab449c59,G1_FROZEN_RECOMPUTE_RECEIPT.json,,VERIFIED_DETERMINISTIC,True
NC-006,main.tex G2 successor,746=364+382+0,746=364+382+0,data/healthomics/clinvar_provenance.json reconciliation,8d48e76e61bb9c906ad237238b1c957d3f1807d42b75b644f4987b62790591b1,"scripts/build_clinvar_evidence.py gene_specific predicate (frozen provenance, no live NCBI)",7eaaabf737646f956580f5c02109f6c8fb3feaa02e1e8243948fda5526752545,EXP-003-SUCCESSOR-001/EXPERIMENT_RECEIPT.json,d4d1764f9f5645d019b5178dc84b3a87890a9b2515cacf224e146aafb37a6615,VERIFIED_DETERMINISTIC,True
NC-007,main.tex G2 100-ID failure,100-ID; ~16.5 MB XML vs 10 MB JSON,ids=100; XML=16503275 bytes; max=10MB,clinvar_provenance.json batch_failures[0],8d48e76e61bb9c906ad237238b1c957d3f1807d42b75b644f4987b62790591b1,scripts/build_clinvar_evidence.py fetch_summaries,7eaaabf737646f956580f5c02109f6c8fb3feaa02e1e8243948fda5526752545,clinvar_provenance.json,8d48e76e61bb9c906ad237238b1c957d3f1807d42b75b644f4987b62790591b1,VERIFIED_DETERMINISTIC,True
NC-008,main.tex G2 historical 742,742-row corpus not reproduced,742,UNVERIFIED_HISTORICAL_CLAIMS.json N_fetched,,provenance search EXP-003,,paper/newinml2026/experiments/EXP-003/UNVERIFIED_HISTORICAL_CLAIMS.json,,VERIFIED_DETERMINISTIC,True
NC-009,main.tex provenance 206 MB,206 MB,not re-measured this audit,EXP-002-PROV.1 PROVENANCE_REPORT.md,,,,paper/newinml2026/experiments/EXP-002-PROV.1/PROVENANCE_REPORT.md,,PARTIAL_TRACE,True
NC-010,main.tex morphology null,28/50; enrichment vs shuffle <1,rank=28; N=50; enrichment=0.24638253360287107,data/partner/evaluation.json,ede568677be5d45412f359153ebd60ada87b23ec93db6a33f9e836bce1bea62f,"cached shuffle block (seed 260813, 1000 iterations)",,paper/newinml2026/experiments/EXP-006/reproduction_result.json,1e3c797c912281f0d3388686a7dcf012bdd4b4adab905ecbcb760c62d45f37bd,VERIFIED_FROM_FROZEN_PROBABILISTIC_OUTPUT,True
