claim_id,text,evidence_class,supporting_fcos,contradictory_fcos,transformation_path,statistical_evidence,claim_ceiling,manuscript_location,status
CLAIM-001,"Two lanes (science FCG + FTO) share one Merkle root",DETERMINISTIC_COMPUTATION,fcg/store+fto/receipt,none,fcg.py merkle convention,RFC6962-style tree,REPURPOSING_HYPOTHESIS,TBD methods,OPEN
CLAIM-002,"Barth syndrome small-molecule repurposing hypothesis with claim ceiling REPURPOSING_HYPOTHESIS",HYPOTHESIS,README.md+gap/rules.py,none,document+code enforcement,none,REPURPOSING_HYPOTHESIS,TBD intro,OPEN
CLAIM-003,"GAP prescripted run validates known Barth/elamipretide case",DETERMINISTIC_COMPUTATION,gap/runs/2026-08-13/,gap/abstentions mismatch,ingest_gap.py prescripted build,4 candidates 1 NOT_A_GAP 3 ABSTAIN,REPURPOSING_HYPOTHESIS,TBD results,CONTRADICTED
CLAIM-004,"Abstention summary equals terminal ABSTAIN row count",DETERMINISTIC_COMPUTATION,none,gap/runs/2026-08-13/abstentions.json+ingest_gap.py:119-124,ingest constructs summary separately,count invariant failed,REPURPOSING_HYPOTHESIS,TBD methods,BLOCKED
CLAIM-005,"CPJUMP1 perturbation figure depicts restoration-distance ranking",DETERMINISTIC_COMPUTATION,figures/cell_perturbation_restoration.provenance.json,none,scripts/make_cell_perturbation_figure.py,restoration distance metric,REPURPOSING_HYPOTHESIS,TBD fig1,OPEN
CLAIM-006,"OpenAI fan-out outputs are custody-classified FCOs not scientific measurements",PROBABILISTIC_MODEL_OUTPUT,fco/agent_fanout/20260813Tfanout-elvis/,none,run_openai_fanout.py,none,REPURPOSING_HYPOTHESIS,TBD agents demo,OPEN
CLAIM-007,"FTO lane emits CLEARANCE_SEARCH_RECORD not legal FTO opinion",DETERMINISTIC_COMPUTATION,fto/fto.py+fto/FTO_DESIGN.md,none,refusal pattern in code,none,CLEARANCE_SEARCH_RECORD,TBD FTO section,OPEN
CLAIM-008,"Live Convoke and Open Targets joins are wired",EXTERNALLY_RETRIEVED_EVIDENCE,none,fto/registry_digests.json+gap/receipt note,registry LISTED_NOT_WIRED,none,REPURPOSING_HYPOTHESIS,TBD limitations,REFUTED
CLAIM-009,"MMR reranking is applied to hackday candidate ranking",INFERENCE,docs/FCO_FCG_DESIGN_CITATIONS.md,README direct restoration-distance,design citation only,not yet implemented,REPURPOSING_HYPOTHESIS,TBD methods,NOT_SUPPORTED
CLAIM-010,"SeedGraph/Overwatch live writeback completed",EXTERNALLY_RETRIEVED_EVIDENCE,docs/deferred_writeback_candidates.jsonl,README explicit deferral,local packet only,none,REPURPOSING_HYPOTHESIS,TBD infra,REFUTED
